n        A_n/3    A_2n/3   A_n      B_n/3    B_2n/3   B_n      C_n/3    C_2n/3   C_n      A_Avg    B_Avg    C_Avg    
10       198      385      636      101      303      636      261      470      636      415      352      474      
110      1923     3901     5806     696      2706     5806     3030     5073     5806     3022     2096     3867     
210      3837     7674     10657    1138     4741     10657    5916     9519     10657    5732     3614     7202     
310      4691     9512     14105    1312     5714     14105    8330     12767    14105    7056     4497     9743     
410      6069     12682    19122    1875     7927     19122    11134    17217    19122    9515     6162     13099    
510      8608     16802    25352    2540     11144    25352    14208    22812    25352    12818    8381     17121    
610      9969     20237    30821    3439     13930    30821    16825    27347    30821    15333    10440    20532    
710      12298    23436    34774    3737     15354    34774    19354    31005    34774    17840    11584    23336    
810      13070    26576    40723    4519     18146    40723    22577    36204    40723    20050    13642    27231    
910      15785    31791    46770    5224     21046    46770    25655    41510    46770    23645    15786    31139    
1010     16648    33066    50143    5366     22164    50143    27913    44744    50143    25120    16697    33594    
